0,0
1,0
2,0
3,0
4,0
5,0
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
4,8
3,8
2,8
1,8
0,8
-1,8
-2,8
-3,8
-4,7
-5,6
-6,5
-5,5
-4,5
-3,5
-2,5
-1,5
0,5
1,5
2,5
3,5
4,5
6,5
7,5
8,5
9,5
10,5
11,5
12,4
13,3
14,2
15,1
16,0
17,-1
17,-2
17,-3
17,-4
17,-5
16,-5
15,-5
14,-5
13,-5
12,-5
11,-5
10,-5
9,-5
8,-5
7,-5
6,-5
5,-5
4,-5
3,-5
2,-5
1,-5
0,-5
-1,-5
-2,-5
-3,-5
-4,-5
-5,-5
-6,-5
-7,-5
-8,-5
-9,-4
-10,-3
-11,-2
-12,-1
-13,0
-13,1
-13,2
-13,3
-13,4
-13,5
-13,6
-13,7
-13,8
-13,9
-13,10
-13,11
-13,12
-13,13
-13,14
-13,15
